Customer_ID,Age,Gender,City,Subscription_Type,Monthly_Spending,Tenure_Months,Number_of_Purchases,Support_Requests,Login_Frequency,Last_Activity_Days_Ago,Satisfaction_Score,Payment_Method,Contract_Type,Discount_Used,Referral_Source,Auto_Renew,Device_Type,Internet_Speed,Customer_Lifetime_Value,Churn
CUST000702,37.0,Male,Dallas,Basic,36.89,9.0,10.0,3.0,52.0,30.0,7.0,Credit Card,,No,Friend,Yes,Tablet,Fast,283.8,No
CUST000043,32.0,Male,Charlotte,Standard,27.57,9.0,1.0,4.0,0.0,81.0,6.0,PayPal,Quarterly,No,Social Media,No,Android,Medium,157.41,Yes
CUST000215,36.0,Male,San Antonio,Basic,16.71,35.0,39.0,4.0,56.0,31.0,7.0,Credit Card,Quarterly,No,Advertisement,Yes,iPhone,Medium,844.18,No
CUST001654,35.0,Male,Phoenix,Premium,131.18,6.0,2.0,4.0,0.0,70.0,6.0,PayPal,Yearly,No,Friend,Yes,iPhone,Medium,603.69,No
CUST001359,35.0,Female,Seattle,Standard,19.94,9.0,1.0,3.0,0.0,102.0,6.0,Debit Card,Quarterly,No,Organic Search,No,Tablet,Slow,50.0,Yes
CUST000703,,Male,Columbus,Enterprise,300.0,3.0,4.0,0.0,55.0,42.0,10.0,Credit Card,Quarterly,No,Organic Search,Yes,Tablet,Medium,884.7,No
CUST001403,38.0,Female,San Jose,Standard,42.53,9.0,13.0,1.0,73.0,0.0,10.0,Credit Card,Yearly,No,Friend,Yes,Android,Slow,387.66,No
CUST001560,38.0,Female,Dallas,Premium,146.93,11.0,,1.0,51.0,39.0,9.0,Credit Card,Yearly,No,Friend,Yes,Tablet,Fast,1191.84,No
CUST000474,42.0,Female,San Diego,Basic,14.53,72.0,49.0,2.0,16.0,23.0,7.0,PayPal,Monthly,No,Email Campaign,No,Android,Fast,1025.27,Yes
CUST000567,38.0,Female,San Diego,Premium,114.85,1.0,1.0,3.0,48.0,43.0,8.0,Credit Card,Quarterly,No,Social Media,Yes,Tablet,,283.94,No
CUST000070,38.0,Male,Austin,Basic,16.33,9.0,7.0,0.0,68.0,25.0,10.0,Cash,Monthly,Yes,Organic Search,No,iPhone,Medium,50.0,No
CUST001672,21.0,Female,Chicago,Premium,108.67,31.0,14.0,1.0,45.0,49.0,5.0,PayPal,Monthly,Yes,Advertisement,Yes,Desktop,Medium,2667.46,No
CUST000101,35.0,Female,Phoenix,Premium,76.11,,27.0,1.0,26.0,0.0,8.0,Debit Card,Monthly,No,Advertisement,No,Android,Fast,1066.07,No
CUST001342,45.0,Female,Houston,Basic,13.88,6.0,5.0,1.0,57.0,1.0,8.0,Credit Card,Quarterly,No,Social Media,No,Android,Fast,556.17,No
CUST001992,47.0,Male,Phoenix,Basic,299.15,11.0,3.0,3.0,19.0,82.0,6.0,Credit Card,Monthly,No,Friend,No,Desktop,Medium,205.86,Yes
CUST000878,37.0,Male,Phoenix,Premium,90.0,5.0,3.0,2.0,40.0,38.0,6.0,PayPal,Monthly,Yes,Email Campaign,No,Desktop,Fast,292.36,No
CUST000042,47.0,Male,Seattle,Premium,89.57,3.0,1.0,4.0,20.0,42.0,,Debit Card,Monthly,No,Organic Search,Yes,Desktop,Fast,50.0,No
CUST000075,42.0,Male,Philadelphia,Standard,55.36,1.0,1.0,2.0,47.0,47.0,8.0,Credit Card,Monthly,Yes,Organic Search,Yes,Desktop,Slow,50.0,No
CUST001880,20.0,Male,San Antonio,Basic,15.23,72.0,67.0,1.0,42.0,11.0,7.0,Credit Card,Quarterly,No,Social Media,Yes,Desktop,Fast,1257.96,No
CUST000830,18.0,Male,Denver,Basic,10.0,5.0,4.0,0.0,58.0,29.0,9.0,,Monthly,No,Friend,Yes,Desktop,Fast,50.0,No
CUST000285,27.0,Male,Nashville,Basic,10.0,5.0,2.0,3.0,23.0,49.0,7.0,Debit Card,Quarterly,Yes,Advertisement,Yes,iPhone,Medium,50.0,No
CUST001153,43.0,Male,Columbus,Basic,20.6,13.0,15.0,1.0,58.0,38.0,9.0,Debit Card,Monthly,Yes,Friend,Yes,Desktop,Medium,239.37,No
CUST000516,,Female,Portland,Enterprise,91.87,5.0,3.0,1.0,52.0,71.0,8.0,Credit Card,Monthly,No,,No,Android,Slow,,Yes
CUST001044,41.0,Female,Seattle,Basic,16.76,7.0,5.0,3.0,,64.0,9.0,Bank Transfer,Monthly,Yes,Email Campaign,No,iPhone,Medium,282.26,No
CUST001465,52.0,Male,Austin,Standard,30.02,29.0,24.0,2.0,51.0,47.0,10.0,Bank Transfer,Yearly,Yes,Email Campaign,No,Android,Fast,806.45,No
CUST001699,19.0,Female,Charlotte,Basic,10.0,9.0,2.0,6.0,0.0,109.0,3.0,Credit Card,Monthly,Yes,Organic Search,No,Desktop,Slow,299.69,Yes
CUST001050,45.0,Male,Jacksonville,Enterprise,227.72,15.0,6.0,4.0,36.0,42.0,7.0,Credit Card,Monthly,No,Social Media,No,Android,Slow,3834.79,Yes
CUST000240,34.0,Male,Columbus,Basic,14.1,37.0,32.0,1.0,36.0,42.0,8.0,Credit Card,Yearly,No,Friend,No,iPhone,Slow,148.31,No
CUST000943,46.0,Female,Columbus,Standard,111.86,3.0,4.0,1.0,71.0,4.0,9.0,Debit Card,Monthly,No,Organic Search,Yes,iPhone,Slow,72.97,No
CUST000944,54.0,Male,Dallas,Enterprise,198.51,1.0,1.0,1.0,55.0,15.0,7.0,PayPal,Monthly,Yes,Advertisement,No,iPhone,Medium,242.44,No
CUST000633,35.0,Female,Seattle,Standard,45.09,27.0,15.0,3.0,45.0,27.0,7.0,Bank Transfer,Yearly,Yes,Friend,Yes,,Medium,1856.3,No
CUST000176,42.0,Male,,Basic,22.09,2.0,3.0,2.0,50.0,0.0,8.0,PayPal,Monthly,No,Social Media,No,Desktop,Medium,50.0,No
CUST001047,34.0,Female,Columbus,Basic,39.17,30.0,20.0,4.0,50.0,35.0,7.0,Credit Card,Yearly,No,Social Media,Yes,Android,Medium,935.45,No
CUST000907,37.0,Female,Phoenix,Standard,66.07,18.0,17.0,3.0,38.0,29.0,6.0,Credit Card,Monthly,Yes,Email Campaign,No,Desktop,Medium,787.81,No
CUST001425,42.0,Female,Columbus,Premium,72.63,4.0,3.0,4.0,46.0,31.0,9.0,PayPal,Monthly,Yes,Friend,,iPhone,Slow,50.0,Yes
CUST001546,37.0,Female,San Jose,Basic,10.0,3.0,0.0,5.0,0.0,,6.0,Debit Card,Monthly,No,Advertisement,No,iPhone,Medium,50.0,Yes
CUST001166,30.0,Male,San Antonio,Basic,25.19,1.0,0.0,1.0,51.0,11.0,9.0,Bank Transfer,Quarterly,Yes,Advertisement,No,iPhone,Fast,,No
CUST001145,40.0,Male,Austin,Standard,,3.0,1.0,4.0,24.0,83.0,7.0,PayPal,Monthly,Yes,Friend,No,Android,Slow,115.52,Yes
CUST000870,39.0,Male,Portland,Basic,28.0,13.0,10.0,2.0,49.0,23.0,10.0,Debit Card,Yearly,Yes,Advertisement,Yes,iPhone,Medium,506.14,No
CUST000136,28.0,Female,Seattle,Standard,33.45,7.0,5.0,3.0,63.0,35.0,8.0,Cash,Yearly,Yes,Organic Search,No,Desktop,Slow,248.03,No
CUST000506,33.0,Female,Jacksonville,Basic,16.29,16.0,13.0,1.0,52.0,48.0,7.0,Bank Transfer,Yearly,No,Advertisement,No,Tablet,Fast,50.0,No
CUST001964,37.0,Male,Dallas,Basic,17.71,5.0,3.0,0.0,,15.0,7.0,PayPal,Quarterly,No,Friend,Yes,iPhone,Slow,50.0,No
CUST001023,45.0,Male,Boston,Basic,29.49,5.0,4.0,3.0,10.0,73.0,5.0,Credit Card,Monthly,Yes,Organic Search,Yes,Android,Fast,142.28,Yes
CUST001515,,Female,Dallas,Basic,20.57,58.0,51.0,0.0,68.0,42.0,7.0,Debit Card,Yearly,No,Friend,No,Desktop,Fast,1255.32,No
CUST001180,45.0,Male,Columbus,Standard,60.76,33.0,35.0,0.0,64.0,15.0,9.0,Credit Card,Quarterly,,Advertisement,Yes,Android,Slow,2491.79,No
CUST001439,25.0,Female,Houston,Premium,130.34,13.0,16.0,0.0,67.0,0.0,,Debit Card,Quarterly,No,Advertisement,Yes,iPhone,Fast,1760.57,No
CUST000981,46.0,Male,Chicago,Premium,116.19,18.0,8.0,5.0,37.0,59.0,6.0,PayPal,Yearly,Yes,,No,iPhone,Medium,1626.75,No
CUST001098,46.0,Female,Phoenix,Basic,33.69,3.0,2.0,1.0,63.0,24.0,10.0,Bank Transfer,Monthly,No,Email Campaign,Yes,Tablet,Medium,50.0,No
CUST000636,37.0,,Charlotte,Premium,132.03,19.0,11.0,0.0,62.0,,8.0,Credit Card,Quarterly,No,Advertisement,Yes,Android,Slow,2121.2,No
CUST001305,37.0,Male,Houston,Standard,37.61,10.0,7.0,6.0,20.0,23.0,8.0,Debit Card,Quarterly,No,Advertisement,Yes,Desktop,Medium,257.63,No
CUST000152,28.0,Male,Portland,Standard,66.53,1.0,1.0,0.0,69.0,4.0,10.0,Cash,Quarterly,No,Email Campaign,Yes,Tablet,Medium,50.0,No
CUST000074,46.0,Male,Philadelphia,Basic,10.0,12.0,7.0,3.0,19.0,35.0,5.0,Debit Card,Quarterly,No,Organic Search,No,Desktop,Slow,369.19,Yes
CUST000558,28.0,Male,Los Angeles,Premium,129.87,4.0,2.0,2.0,42.0,46.0,7.0,Credit Card,Monthly,No,Friend,Yes,Android,,665.26,No
CUST000610,46.0,Male,Denver,Basic,35.56,68.0,85.0,0.0,59.0,27.0,8.0,Debit Card,Yearly,Yes,Advertisement,No,Android,Fast,2967.18,No
CUST000977,53.0,Female,Boston,Premium,104.49,72.0,48.0,0.0,72.0,,9.0,Credit Card,Yearly,Yes,Advertisement,Yes,Android,Slow,6622.27,No
CUST000941,43.0,Male,Phoenix,Standard,37.08,24.0,21.0,1.0,51.0,33.0,7.0,PayPal,Yearly,No,Social Media,No,Desktop,Slow,799.19,No
CUST000490,48.0,Female,Columbus,Premium,107.93,2.0,2.0,3.0,66.0,69.0,10.0,Credit Card,Yearly,No,Organic Search,Yes,iPhone,Fast,226.65,No
CUST000602,33.0,Female,Nashville,Standard,35.21,3.0,3.0,2.0,54.0,9.0,10.0,Cash,Monthly,Yes,Friend,Yes,Desktop,Slow,112.01,No
CUST000218,56.0,Male,Austin,Basic,38.94,5.0,9.0,0.0,104.0,0.0,10.0,Debit Card,Quarterly,No,Social Media,No,Desktop,Slow,563.15,No
CUST000861,28.0,Female,Chicago,Premium,,20.0,8.0,4.0,41.0,76.0,5.0,Credit Card,Yearly,Yes,Social Media,No,iPhone,Slow,2046.78,Yes
CUST001717,33.0,Male,Boston,Standard,40.69,9.0,11.0,0.0,40.0,0.0,9.0,Credit Card,Monthly,,Friend,Yes,iPhone,Fast,424.02,No
CUST001928,28.0,Female,Indianapolis,Basic,19.82,1.0,1.0,0.0,73.0,24.0,10.0,Debit Card,Monthly,No,Friend,No,Desktop,Fast,376.76,No
CUST000727,43.0,Female,San Diego,Premium,134.37,12.0,7.0,0.0,48.0,23.0,9.0,Credit Card,Quarterly,No,Friend,Yes,Android,Slow,1868.24,No
CUST001323,40.0,Female,Denver,Basic,13.41,15.0,11.0,1.0,42.0,44.0,7.0,Credit Card,Quarterly,No,Social Media,Yes,Android,Slow,50.0,No
CUST000201,44.0,Male,Dallas,Standard,62.89,6.0,4.0,2.0,28.0,63.0,8.0,Credit Card,Quarterly,No,Advertisement,Yes,Desktop,Fast,242.78,No
CUST000172,45.0,Male,Indianapolis,Standard,50.21,12.0,8.0,0.0,42.0,57.0,7.0,PayPal,Quarterly,No,Organic Search,Yes,Tablet,Slow,854.15,Yes
CUST000354,50.0,Male,New York,Standard,45.74,29.0,12.0,2.0,40.0,59.0,7.0,Credit Card,Quarterly,No,Organic Search,No,Desktop,Fast,1336.76,No
CUST000204,48.0,Male,New York,Basic,23.75,3.0,4.0,1.0,63.0,18.0,9.0,Credit Card,Quarterly,No,Organic Search,Yes,Tablet,Medium,211.83,No
CUST000153,20.0,Female,San Jose,Basic,26.88,7.0,10.0,2.0,78.0,0.0,10.0,Cash,Monthly,No,Advertisement,Yes,iPhone,Slow,386.96,No
CUST000686,34.0,Male,Houston,Basic,,37.0,27.0,1.0,54.0,39.0,9.0,Cash,Quarterly,Yes,Advertisement,No,Android,Medium,276.67,No
CUST001179,44.0,,Indianapolis,Basic,27.11,28.0,17.0,1.0,70.0,29.0,9.0,Bank Transfer,Yearly,No,Advertisement,Yes,Desktop,Medium,786.44,No
CUST000039,30.0,,Phoenix,Basic,14.15,3.0,1.0,2.0,,69.0,8.0,PayPal,Yearly,,Advertisement,Yes,Android,Slow,50.0,No
CUST001448,58.0,Female,Phoenix,Premium,120.06,5.0,5.0,0.0,81.0,13.0,8.0,Debit Card,Yearly,No,Organic Search,Yes,Android,Fast,569.3,No
CUST001542,50.0,Male,New York,Basic,23.22,8.0,7.0,0.0,80.0,20.0,8.0,PayPal,Quarterly,Yes,Social Media,Yes,iPhone,Medium,53.77,No
CUST001889,21.0,Male,Philadelphia,Standard,48.48,33.0,11.0,6.0,30.0,77.0,4.0,Debit Card,Yearly,No,Friend,No,iPhone,Fast,1144.28,Yes
CUST000273,39.0,Female,Seattle,Enterprise,300.0,12.0,4.0,3.0,0.0,90.0,6.0,Credit Card,Monthly,Yes,Advertisement,,Android,Medium,3059.7,Yes
CUST001509,64.0,Female,Jacksonville,Basic,14.1,14.0,6.0,2.0,37.0,22.0,7.0,,Monthly,Yes,Advertisement,No,iPhone,Fast,132.22,Yes
CUST000061,20.0,Female,Denver,Standard,55.81,53.0,31.0,0.0,33.0,41.0,6.0,Bank Transfer,Yearly,No,Advertisement,No,Android,Medium,2182.87,No
CUST001601,39.0,Female,New York,Basic,10.0,37.0,16.0,3.0,11.0,52.0,6.0,Credit Card,,No,Advertisement,No,iPhone,Fast,473.63,Yes
CUST000978,35.0,Male,Austin,Basic,10.0,15.0,4.0,3.0,2.0,71.0,7.0,Bank Transfer,Quarterly,No,Friend,No,Desktop,Medium,50.0,Yes
CUST000708,47.0,Female,Houston,Premium,111.85,16.0,8.0,4.0,44.0,38.0,6.0,Credit Card,Monthly,Yes,Organic Search,No,Desktop,Fast,1609.69,Yes
CUST001381,,Female,San Diego,Basic,10.0,15.0,2.0,6.0,25.0,77.0,4.0,Debit Card,Quarterly,No,Organic Search,No,Desktop,Medium,50.0,Yes
CUST001107,24.0,Female,Nashville,Premium,138.42,2.0,2.0,1.0,75.0,60.0,8.0,Cash,Monthly,No,Social Media,Yes,Desktop,Medium,50.0,No
CUST001893,26.0,Female,San Antonio,Standard,47.76,2.0,1.0,3.0,23.0,76.0,6.0,Bank Transfer,Quarterly,No,Organic Search,No,Android,Medium,282.31,Yes
CUST000758,50.0,Male,Phoenix,Premium,98.26,3.0,1.0,4.0,21.0,,5.0,Debit Card,Monthly,No,Friend,No,Tablet,Medium,414.41,Yes
CUST000434,18.0,Male,Boston,Standard,60.22,21.0,24.0,2.0,68.0,36.0,10.0,Debit Card,,Yes,Friend,No,Desktop,Medium,812.27,No
CUST000448,36.0,Male,Seattle,Basic,18.78,16.0,8.0,5.0,17.0,57.0,3.0,PayPal,Yearly,Yes,Social Media,No,iPhone,Medium,282.65,Yes
CUST000845,42.0,Male,San Diego,Basic,10.78,31.0,35.0,2.0,45.0,47.0,7.0,PayPal,Quarterly,Yes,,Yes,Android,Fast,207.56,No
CUST001472,54.0,Female,San Antonio,Premium,88.7,72.0,64.0,0.0,51.0,21.0,8.0,Credit Card,Yearly,Yes,Organic Search,Yes,Tablet,Slow,19896.04,No
CUST000643,65.0,Female,San Diego,Basic,,9.0,,0.0,69.0,0.0,10.0,Credit Card,Yearly,No,Friend,Yes,Android,Medium,458.13,No
CUST001690,50.0,Male,Portland,Basic,27.75,14.0,17.0,0.0,79.0,43.0,10.0,PayPal,Quarterly,No,Social Media,Yes,Android,Medium,94.12,No
CUST000473,37.0,Male,Portland,Basic,12.84,7.0,1.0,3.0,5.0,75.0,6.0,Debit Card,Quarterly,No,Advertisement,Yes,Tablet,Fast,290.64,Yes
CUST001011,25.0,Male,Phoenix,Basic,17.03,8.0,5.0,3.0,48.0,38.0,8.0,Credit Card,Yearly,No,Organic Search,No,iPhone,Medium,50.0,No
CUST001475,38.0,Female,Nashville,Basic,287.5,7.0,4.0,0.0,99.0,50.0,9.0,Bank Transfer,Quarterly,No,Friend,No,Desktop,Slow,50.0,No
CUST001224,,Female,Boston,Basic,10.0,54.0,16.0,3.0,9.0,58.0,5.0,PayPal,Quarterly,No,Friend,Yes,Android,Fast,177.91,No
CUST001091,33.0,Female,Boston,Basic,10.0,40.0,8.0,3.0,29.0,,5.0,PayPal,Yearly,Yes,Friend,No,Android,Fast,584.19,Yes
CUST001124,37.0,Male,Boston,Basic,30.77,4.0,3.0,2.0,32.0,20.0,7.0,PayPal,Quarterly,No,Email Campaign,Yes,Tablet,Slow,50.0,No
CUST000081,45.0,Male,Boston,Basic,16.81,6.0,8.0,3.0,55.0,47.0,9.0,Credit Card,Yearly,Yes,Organic Search,Yes,Android,Fast,118.29,No
CUST000272,44.0,Male,Indianapolis,Basic,13.86,4.0,3.0,2.0,59.0,40.0,6.0,Debit Card,,No,Friend,No,Android,Slow,50.0,No
CUST001710,38.0,Male,Seattle,Standard,53.76,1.0,1.0,0.0,80.0,36.0,8.0,Bank Transfer,Monthly,,Social Media,No,iPhone,Medium,50.0,No
CUST000574,29.0,Female,Nashville,Standard,77.55,24.0,20.0,0.0,80.0,24.0,10.0,PayPal,Yearly,No,Email Campaign,Yes,Android,Fast,1537.8,No
CUST000128,26.0,Female,Nashville,Premium,138.78,72.0,57.0,3.0,64.0,4.0,8.0,Credit Card,Monthly,Yes,Social Media,No,Desktop,Fast,12188.11,No
CUST001868,48.0,Female,Denver,Standard,23.98,11.0,5.0,4.0,36.0,28.0,6.0,Bank Transfer,Quarterly,No,Organic Search,No,Desktop,Fast,,No
CUST001291,42.0,Male,New York,Standard,23.48,46.0,37.0,2.0,31.0,37.0,5.0,Credit Card,Yearly,No,Advertisement,No,Tablet,Medium,988.99,No
CUST001364,50.0,Female,Denver,Standard,38.78,5.0,1.0,3.0,15.0,78.0,4.0,Bank Transfer,Monthly,No,Social Media,No,Android,Medium,174.29,Yes
CUST000131,35.0,Female,San Antonio,Basic,35.56,16.0,20.0,0.0,84.0,3.0,9.0,Bank Transfer,Yearly,No,Organic Search,No,iPhone,Fast,639.84,No
CUST000266,52.0,Female,Portland,Standard,46.18,25.0,33.0,0.0,57.0,0.0,9.0,PayPal,,No,Organic Search,No,Tablet,Fast,1497.19,No
CUST001281,54.0,Female,San Antonio,Basic,12.7,6.0,4.0,3.0,44.0,47.0,8.0,Credit Card,Yearly,No,Organic Search,Yes,Tablet,Fast,50.0,No
CUST000660,36.0,Female,Jacksonville,Standard,82.98,,2.0,0.0,47.0,47.0,8.0,PayPal,Quarterly,No,Advertisement,No,iPhone,Medium,282.44,No
CUST000609,20.0,Female,Dallas,Standard,23.12,10.0,2.0,1.0,17.0,61.0,7.0,PayPal,Quarterly,No,Friend,Yes,iPhone,Fast,311.82,No
CUST001186,23.0,Male,Charlotte,Enterprise,169.48,7.0,5.0,3.0,73.0,36.0,10.0,Credit Card,,Yes,Advertisement,No,Android,Medium,574.23,No
CUST000165,50.0,Male,Denver,Basic,31.71,49.0,59.0,2.0,45.0,10.0,,Debit Card,Yearly,No,Organic Search,No,Tablet,Medium,1578.33,No
CUST001406,48.0,Female,Columbus,Basic,25.05,64.0,67.0,1.0,75.0,68.0,7.0,Bank Transfer,Monthly,Yes,Advertisement,Yes,iPhone,Fast,879.29,No
CUST001422,37.0,Female,San Jose,Basic,31.1,30.0,24.0,2.0,26.0,43.0,8.0,Credit Card,Yearly,No,Organic Search,Yes,iPhone,Slow,,No
CUST000305,39.0,Male,Los Angeles,Basic,11.65,13.0,8.0,5.0,47.0,61.0,7.0,PayPal,Monthly,Yes,Organic Search,No,Android,Fast,162.36,No
CUST000189,24.0,Female,Houston,Standard,70.67,16.0,15.0,0.0,116.0,0.0,10.0,Credit Card,Yearly,No,Organic Search,Yes,Desktop,Fast,1051.31,No
CUST001823,55.0,Male,Dallas,Basic,13.69,16.0,4.0,4.0,18.0,71.0,6.0,Debit Card,Monthly,No,Advertisement,Yes,Desktop,Fast,407.27,Yes
CUST000279,54.0,Male,Austin,Basic,21.16,14.0,7.0,3.0,21.0,80.0,6.0,Debit Card,Quarterly,Yes,Friend,No,Desktop,Medium,204.01,Yes
CUST001590,35.0,Female,Houston,Premium,154.14,6.0,6.0,0.0,50.0,15.0,8.0,Credit Card,Monthly,No,Organic Search,No,Desktop,Medium,805.89,No
CUST001507,18.0,Female,Charlotte,Basic,13.34,18.0,18.0,1.0,41.0,34.0,7.0,Debit Card,Yearly,No,Friend,No,Android,Slow,294.47,No
CUST000066,50.0,Female,Jacksonville,Basic,10.26,38.0,32.0,2.0,21.0,50.0,10.0,Credit Card,Quarterly,No,Social Media,No,Android,Medium,626.06,No
CUST001118,36.0,Male,Charlotte,,33.18,13.0,14.0,1.0,98.0,11.0,9.0,Debit Card,Yearly,Yes,Social Media,Yes,iPhone,Medium,661.07,No
CUST000330,34.0,Male,Phoenix,Standard,35.45,1.0,0.0,2.0,27.0,92.0,5.0,Bank Transfer,Monthly,No,Email Campaign,No,iPhone,Slow,50.0,Yes
CUST000356,43.0,Female,San Antonio,Standard,55.0,5.0,3.0,2.0,8.0,34.0,7.0,Credit Card,Monthly,No,Organic Search,Yes,Android,Medium,1021.19,No
CUST000502,51.0,Female,Dallas,,130.89,49.0,33.0,2.0,40.0,38.0,7.0,Debit Card,Quarterly,Yes,Advertisement,No,Desktop,Fast,4087.13,No
CUST000902,41.0,Male,San Diego,Basic,14.32,5.0,1.0,4.0,17.0,113.0,4.0,Credit Card,Monthly,No,Organic Search,No,Desktop,Slow,50.0,Yes
CUST001415,56.0,Female,New York,Premium,105.61,4.0,3.0,4.0,21.0,60.0,7.0,Bank Transfer,Monthly,,Advertisement,No,Android,Fast,810.56,Yes
CUST000318,32.0,Male,Columbus,Basic,17.8,4.0,1.0,4.0,13.0,88.0,8.0,PayPal,Monthly,No,Advertisement,No,Desktop,Slow,118.17,Yes
CUST000753,28.0,Male,Columbus,Enterprise,153.36,10.0,2.0,5.0,17.0,78.0,5.0,Bank Transfer,Monthly,No,Social Media,Yes,iPhone,Fast,1877.24,Yes
CUST000711,40.0,Female,Charlotte,Standard,12.92,12.0,3.0,4.0,2.0,78.0,5.0,Debit Card,Monthly,Yes,Social Media,No,Desktop,Medium,414.46,Yes
CUST001322,33.0,Female,Philadelphia,Standard,47.82,16.0,10.0,1.0,52.0,17.0,8.0,Debit Card,Quarterly,No,Social Media,Yes,iPhone,Medium,750.59,No
CUST001034,46.0,Female,,Basic,24.7,19.0,7.0,3.0,41.0,78.0,7.0,Debit Card,Quarterly,No,Advertisement,No,iPhone,Slow,498.22,No
CUST001380,58.0,Male,Nashville,Basic,24.75,14.0,15.0,2.0,20.0,26.0,8.0,Debit Card,Yearly,No,Organic Search,Yes,iPhone,Medium,501.34,No
CUST000094,39.0,Female,Seattle,Basic,29.53,14.0,15.0,2.0,62.0,13.0,9.0,Credit Card,Quarterly,No,Social Media,Yes,Android,Fast,1109.65,No
CUST000692,37.0,Male,Phoenix,Standard,60.35,38.0,23.0,0.0,53.0,36.0,8.0,Credit Card,Quarterly,No,Friend,No,Desktop,Fast,1353.01,No
CUST000294,18.0,Female,Indianapolis,Premium,147.69,47.0,68.0,,100.0,0.0,10.0,,,Yes,Organic Search,Yes,iPhone,Medium,5493.39,No
CUST001666,32.0,Female,Charlotte,Basic,25.43,4.0,6.0,1.0,77.0,1.0,9.0,Debit Card,Quarterly,No,Organic Search,Yes,iPhone,Medium,50.0,No
CUST001596,45.0,Male,Philadelphia,Basic,10.0,24.0,11.0,3.0,6.0,71.0,7.0,Credit Card,Yearly,No,Organic Search,No,iPhone,,228.07,Yes
CUST001836,41.0,Female,Austin,Basic,21.88,26.0,26.0,0.0,58.0,15.0,10.0,Debit Card,Quarterly,No,Advertisement,Yes,Tablet,Medium,1116.09,No
CUST000013,41.0,Male,Houston,Standard,57.94,3.0,2.0,3.0,49.0,44.0,7.0,Debit Card,Quarterly,Yes,Email Campaign,Yes,Desktop,Slow,664.65,No
CUST000485,39.0,Female,Portland,Premium,130.07,3.0,2.0,2.0,12.0,56.0,6.0,Credit Card,Monthly,Yes,Social Media,No,Desktop,Medium,566.88,Yes
CUST000320,26.0,Female,Indianapolis,Premium,101.3,4.0,1.0,5.0,,66.0,4.0,Bank Transfer,Monthly,No,Email Campaign,No,Android,Medium,410.12,Yes
CUST001952,43.0,Male,Nashville,Premium,71.81,24.0,15.0,1.0,7.0,57.0,7.0,Bank Transfer,Quarterly,No,Social Media,Yes,Android,Slow,1771.12,No
CUST000370,50.0,Male,Philadelphia,Premium,137.18,25.0,7.0,4.0,36.0,52.0,7.0,PayPal,Monthly,,Advertisement,No,Android,Medium,1943.79,Yes
CUST001420,40.0,Female,Nashville,Standard,74.63,6.0,2.0,4.0,30.0,86.0,3.0,Credit Card,Monthly,No,,No,Desktop,Fast,1028.57,Yes
CUST000346,18.0,Female,Los Angeles,Standard,18.03,12.0,1.0,7.0,0.0,87.0,4.0,Credit Card,Monthly,No,Advertisement,No,iPhone,Medium,480.87,Yes
