Customer_ID,Age,Gender,City,Subscription_Type,Monthly_Spending,Tenure_Months,Number_of_Purchases,Support_Requests,Login_Frequency,Last_Activity_Days_Ago,Satisfaction_Score,Payment_Method,Contract_Type,Discount_Used,Referral_Source,Auto_Renew,Device_Type,Internet_Speed,Customer_Lifetime_Value,Churn,Avg_Spend_Per_Tenure,Purchases_Per_Tenure,Support_Requests_Per_Tenure,Spend_Per_Purchase,Engagement_Score,Recent_Inactivity_Flag,High_Support_Flag
CUST000101,35.0,Female,Phoenix,Premium,76.11,,27.0,1.0,26.0,0.0,8.0,Debit Card,Monthly,No,Advertisement,No,Android,Fast,1066.07,No,,,,2.818888888888889,57.2,0.0,0.0
CUST001342,45.0,Female,Houston,Basic,13.88,6.0,5.0,1.0,57.0,1.0,8.0,Credit Card,Quarterly,No,Social Media,No,Android,Fast,556.17,No,2.3133333333333335,0.8333333333333334,0.16666666666666666,2.7760000000000002,70.9,0.0,0.0
CUST001992,47.0,Male,Phoenix,Basic,299.15,11.0,3.0,3.0,19.0,82.0,6.0,Credit Card,Monthly,No,Friend,No,Desktop,Medium,205.86,Yes,27.19545454545454,0.2727272727272727,0.2727272727272727,99.71666666666665,16.549999999999997,1.0,0.0
CUST000878,37.0,Male,Phoenix,Premium,90.0,5.0,3.0,2.0,40.0,38.0,6.0,PayPal,Monthly,Yes,Email Campaign,No,Desktop,Fast,292.36,No,18.0,0.6,0.4,30.0,39.5,0.0,0.0
CUST000042,47.0,Male,Seattle,Premium,89.57,3.0,1.0,4.0,20.0,42.0,,Debit Card,Monthly,No,Organic Search,Yes,Desktop,Fast,50.0,No,29.856666666666666,0.3333333333333333,1.3333333333333333,89.57,,0.0,1.0
CUST000075,42.0,Male,Philadelphia,Standard,55.36,1.0,1.0,2.0,47.0,47.0,8.0,Credit Card,Monthly,Yes,Organic Search,Yes,Desktop,Slow,50.0,No,55.36,1.0,2.0,55.36,52.400000000000006,0.0,0.0
CUST001880,20.0,Male,San Antonio,Basic,15.23,72.0,67.0,1.0,42.0,11.0,7.0,Credit Card,Quarterly,No,Social Media,Yes,Desktop,Fast,1257.96,No,0.2115277777777778,0.9305555555555556,0.013888888888888888,0.2273134328358209,55.650000000000006,0.0,0.0
CUST000830,18.0,Male,Denver,Basic,10.0,5.0,4.0,0.0,58.0,29.0,9.0,,Monthly,No,Friend,Yes,Desktop,Fast,50.0,No,2.0,0.8,0.0,2.5,72.85,0.0,0.0
CUST000285,27.0,Male,Nashville,Basic,10.0,5.0,2.0,3.0,23.0,49.0,7.0,Debit Card,Quarterly,Yes,Advertisement,Yes,iPhone,Medium,50.0,No,2.0,0.4,0.6,5.0,32.6,0.0,0.0
CUST001153,43.0,Male,Columbus,Basic,20.6,13.0,15.0,1.0,58.0,38.0,9.0,Debit Card,Monthly,Yes,Friend,Yes,Desktop,Medium,239.37,No,1.5846153846153848,1.1538461538461537,0.07692307692307693,1.3733333333333335,68.1,0.0,0.0
CUST000516,,Female,Portland,Enterprise,91.87,5.0,3.0,1.0,52.0,71.0,8.0,Credit Card,Monthly,No,,No,Android,Slow,,Yes,18.374000000000002,0.6,0.2,30.623333333333335,51.150000000000006,1.0,0.0
CUST001044,41.0,Female,Seattle,Basic,16.76,7.0,5.0,3.0,,64.0,9.0,Bank Transfer,Monthly,Yes,Email Campaign,No,iPhone,Medium,282.26,No,2.3942857142857146,0.7142857142857143,0.42857142857142855,3.3520000000000003,,1.0,0.0
CUST001465,52.0,Male,Austin,Standard,30.02,29.0,24.0,2.0,51.0,47.0,10.0,Bank Transfer,Yearly,Yes,Email Campaign,No,Android,Fast,806.45,No,1.0351724137931035,0.8275862068965517,0.06896551724137931,1.2508333333333332,66.2,0.0,0.0
CUST001699,19.0,Female,Charlotte,Basic,10.0,9.0,2.0,6.0,0.0,109.0,3.0,Credit Card,Monthly,Yes,Organic Search,No,Desktop,Slow,299.69,Yes,1.1111111111111112,0.2222222222222222,0.6666666666666666,5.0,-24.25,1.0,1.0
CUST001050,45.0,Male,Jacksonville,Enterprise,227.72,15.0,6.0,4.0,36.0,42.0,7.0,Credit Card,Monthly,No,Social Media,No,Android,Slow,3834.79,Yes,15.181333333333333,0.4,0.26666666666666666,37.95333333333333,37.7,0.0,1.0
CUST000240,34.0,Male,Columbus,Basic,14.1,37.0,32.0,1.0,36.0,42.0,8.0,Credit Card,Yearly,No,Friend,No,iPhone,Slow,148.31,No,0.3810810810810811,0.8648648648648649,0.02702702702702703,0.440625,51.2,0.0,0.0
CUST000943,46.0,Female,Columbus,Standard,111.86,3.0,4.0,1.0,71.0,4.0,9.0,Debit Card,Monthly,No,Organic Search,Yes,iPhone,Slow,72.97,No,37.28666666666667,1.3333333333333333,0.3333333333333333,27.965,82.45,0.0,0.0
CUST000944,54.0,Male,Dallas,Enterprise,198.51,1.0,1.0,1.0,55.0,15.0,7.0,PayPal,Monthly,Yes,Advertisement,No,iPhone,Medium,242.44,No,198.51,1.0,1.0,198.51,60.5,0.0,0.0
CUST000633,35.0,Female,Seattle,Standard,45.09,27.0,15.0,3.0,45.0,27.0,7.0,Bank Transfer,Yearly,Yes,Friend,Yes,,Medium,1856.3,No,1.6700000000000002,0.5555555555555556,0.1111111111111111,3.0060000000000002,48.0,0.0,0.0
CUST000176,42.0,Male,,Basic,22.09,2.0,3.0,2.0,50.0,0.0,8.0,PayPal,Monthly,No,Social Media,No,Desktop,Medium,50.0,No,11.045,1.5,1.0,7.363333333333333,65.5,0.0,0.0
CUST001047,34.0,Female,Columbus,Basic,39.17,30.0,20.0,4.0,50.0,35.0,7.0,Credit Card,Yearly,No,Social Media,Yes,Android,Medium,935.45,No,1.3056666666666668,0.6666666666666666,0.13333333333333333,1.9585000000000001,45.75,0.0,1.0
CUST000907,37.0,Female,Phoenix,Standard,66.07,18.0,17.0,3.0,38.0,29.0,6.0,Credit Card,Monthly,Yes,Email Campaign,No,Desktop,Medium,787.81,No,3.670555555555555,0.9444444444444444,0.16666666666666666,3.886470588235294,38.35,0.0,0.0
CUST001425,42.0,Female,Columbus,Premium,72.63,4.0,3.0,4.0,46.0,31.0,9.0,PayPal,Monthly,Yes,Friend,,iPhone,Slow,50.0,Yes,18.1575,0.75,1.0,24.209999999999997,56.95,0.0,1.0
CUST001546,37.0,Female,San Jose,Basic,10.0,3.0,0.0,5.0,0.0,,6.0,Debit Card,Monthly,No,Advertisement,No,iPhone,Medium,50.0,Yes,3.3333333333333335,0.0,1.6666666666666667,,,0.0,1.0
CUST001166,30.0,Male,San Antonio,Basic,25.19,1.0,0.0,1.0,51.0,11.0,9.0,Bank Transfer,Quarterly,Yes,Advertisement,No,iPhone,Fast,,No,25.19,0.0,1.0,,71.7,0.0,0.0
CUST001145,40.0,Male,Austin,Standard,,3.0,1.0,4.0,24.0,83.0,7.0,PayPal,Monthly,Yes,Friend,No,Android,Slow,115.52,Yes,,0.3333333333333333,1.3333333333333333,,22.049999999999997,1.0,1.0
CUST000870,39.0,Male,Portland,Basic,28.0,13.0,10.0,2.0,49.0,23.0,10.0,Debit Card,Yearly,Yes,Advertisement,Yes,iPhone,Medium,506.14,No,2.1538461538461537,0.7692307692307693,0.15384615384615385,2.8,71.3,0.0,0.0
CUST000136,28.0,Female,Seattle,Standard,33.45,7.0,5.0,3.0,63.0,35.0,8.0,Cash,Yearly,Yes,Organic Search,No,Desktop,Slow,248.03,No,4.778571428571429,0.7142857142857143,0.42857142857142855,6.69,60.099999999999994,0.0,0.0
CUST000506,33.0,Female,Jacksonville,Basic,16.29,16.0,13.0,1.0,52.0,48.0,7.0,Bank Transfer,Yearly,No,Advertisement,No,Tablet,Fast,50.0,No,1.018125,0.8125,0.0625,1.253076923076923,50.900000000000006,0.0,0.0
CUST001964,37.0,Male,Dallas,Basic,17.71,5.0,3.0,0.0,,15.0,7.0,PayPal,Quarterly,No,Friend,Yes,iPhone,Slow,50.0,No,3.5420000000000003,0.6,0.0,5.903333333333333,,0.0,0.0
CUST001023,45.0,Male,Boston,Basic,29.49,5.0,4.0,3.0,10.0,73.0,5.0,Credit Card,Monthly,Yes,Organic Search,Yes,Android,Fast,142.28,Yes,5.898,0.8,0.6,7.3725,8.75,1.0,0.0
CUST001515,,Female,Dallas,Basic,20.57,58.0,51.0,0.0,68.0,42.0,7.0,Debit Card,Yearly,No,Friend,No,Desktop,Fast,1255.32,No,0.35465517241379313,0.8793103448275862,0.0,0.4033333333333333,62.099999999999994,0.0,0.0
CUST001180,45.0,Male,Columbus,Standard,60.76,33.0,35.0,0.0,64.0,15.0,9.0,Credit Card,Quarterly,,Advertisement,Yes,Android,Slow,2491.79,No,1.841212121212121,1.0606060606060606,0.0,1.736,79.05,0.0,0.0
CUST001439,25.0,Female,Houston,Premium,130.34,13.0,16.0,0.0,67.0,0.0,,Debit Card,Quarterly,No,Advertisement,Yes,iPhone,Fast,1760.57,No,10.026153846153846,1.2307692307692308,0.0,8.14625,,0.0,0.0
CUST000981,46.0,Male,Chicago,Premium,116.19,18.0,8.0,5.0,37.0,59.0,6.0,PayPal,Yearly,Yes,,No,iPhone,Medium,1626.75,No,6.455,0.4444444444444444,0.2777777777777778,14.52375,25.400000000000006,0.0,1.0
CUST001098,46.0,Female,Phoenix,Basic,33.69,3.0,2.0,1.0,63.0,24.0,10.0,Bank Transfer,Monthly,No,Email Campaign,Yes,Tablet,Medium,50.0,No,11.229999999999999,0.6666666666666666,0.3333333333333333,16.845,79.85,0.0,0.0
CUST000636,37.0,,Charlotte,Premium,132.03,19.0,11.0,0.0,62.0,,8.0,Credit Card,Quarterly,No,Advertisement,Yes,Android,Slow,2121.2,No,6.948947368421052,0.5789473684210527,0.0,12.002727272727272,,0.0,0.0
CUST001305,37.0,Male,Houston,Standard,37.61,10.0,7.0,6.0,20.0,23.0,8.0,Debit Card,Quarterly,No,Advertisement,Yes,Desktop,Medium,257.63,No,3.761,0.7,0.6,5.372857142857143,36.25,0.0,1.0
CUST000152,28.0,Male,Portland,Standard,66.53,1.0,1.0,0.0,69.0,4.0,10.0,Cash,Quarterly,No,Email Campaign,Yes,Tablet,Medium,50.0,No,66.53,1.0,0.0,66.53,90.05,0.0,0.0
CUST000074,46.0,Male,Philadelphia,Basic,10.0,12.0,7.0,3.0,19.0,35.0,5.0,Debit Card,Quarterly,No,Organic Search,No,Desktop,Slow,369.19,Yes,0.8333333333333334,0.5833333333333334,0.25,1.4285714285714286,22.299999999999997,0.0,0.0
CUST000558,28.0,Male,Los Angeles,Premium,129.87,4.0,2.0,2.0,42.0,46.0,7.0,Credit Card,Monthly,No,Friend,Yes,Android,,665.26,No,32.4675,0.5,0.5,64.935,44.400000000000006,0.0,0.0
CUST000610,46.0,Male,Denver,Basic,35.56,68.0,85.0,0.0,59.0,27.0,8.0,Debit Card,Yearly,Yes,Advertisement,No,Android,Fast,2967.18,No,0.5229411764705882,1.25,0.0,0.4183529411764706,67.8,0.0,0.0
CUST000977,53.0,Female,Boston,Premium,104.49,72.0,48.0,0.0,72.0,,9.0,Credit Card,Yearly,Yes,Advertisement,Yes,Android,Slow,6622.27,No,1.45125,0.6666666666666666,0.0,2.176875,,0.0,0.0
CUST000941,43.0,Male,Phoenix,Standard,37.08,24.0,21.0,1.0,51.0,33.0,7.0,PayPal,Yearly,No,Social Media,No,Desktop,Slow,799.19,No,1.545,0.875,0.041666666666666664,1.7657142857142856,54.2,0.0,0.0
CUST000490,48.0,Female,Columbus,Premium,107.93,2.0,2.0,3.0,66.0,69.0,10.0,Credit Card,Yearly,No,Organic Search,Yes,iPhone,Fast,226.65,No,53.965,1.0,1.5,53.965,64.95,1.0,0.0
CUST000602,33.0,Female,Nashville,Standard,35.21,3.0,3.0,2.0,54.0,9.0,10.0,Cash,Monthly,Yes,Friend,Yes,Desktop,Slow,112.01,No,11.736666666666666,1.0,0.6666666666666666,11.736666666666666,77.05,0.0,0.0
CUST000218,56.0,Male,Austin,Basic,38.94,5.0,9.0,0.0,104.0,0.0,10.0,Debit Card,Quarterly,No,Social Media,No,Desktop,Slow,563.15,No,7.787999999999999,1.8,0.0,4.326666666666666,106.80000000000001,0.0,0.0
CUST000861,28.0,Female,Chicago,Premium,,20.0,8.0,4.0,41.0,76.0,5.0,Credit Card,Yearly,Yes,Social Media,No,iPhone,Slow,2046.78,Yes,,0.4,0.2,,19.450000000000003,1.0,1.0
CUST001717,33.0,Male,Boston,Standard,40.69,9.0,11.0,0.0,40.0,0.0,9.0,Credit Card,Monthly,,Friend,Yes,iPhone,Fast,424.02,No,4.521111111111111,1.2222222222222223,0.0,3.6990909090909088,72.0,0.0,0.0
CUST001928,28.0,Female,Indianapolis,Basic,19.82,1.0,1.0,0.0,73.0,24.0,10.0,Debit Card,Monthly,No,Friend,No,Desktop,Fast,376.76,No,19.82,1.0,0.0,19.82,86.85,0.0,0.0
CUST000727,43.0,Female,San Diego,Premium,134.37,12.0,7.0,0.0,48.0,23.0,9.0,Credit Card,Quarterly,No,Friend,Yes,Android,Slow,1868.24,No,11.1975,0.5833333333333334,0.0,19.195714285714285,69.85,0.0,0.0
CUST001323,40.0,Female,Denver,Basic,13.41,15.0,11.0,1.0,42.0,44.0,7.0,Credit Card,Quarterly,No,Social Media,Yes,Android,Slow,50.0,No,0.894,0.7333333333333333,0.06666666666666667,1.219090909090909,47.400000000000006,0.0,0.0
CUST000201,44.0,Male,Dallas,Standard,62.89,6.0,4.0,2.0,28.0,63.0,8.0,Credit Card,Quarterly,No,Advertisement,Yes,Desktop,Fast,242.78,No,10.481666666666667,0.6666666666666666,0.3333333333333333,15.7225,39.85,1.0,0.0
CUST000172,45.0,Male,Indianapolis,Standard,50.21,12.0,8.0,0.0,42.0,57.0,7.0,PayPal,Quarterly,No,Organic Search,Yes,Tablet,Slow,854.15,Yes,4.184166666666667,0.6666666666666666,0.0,6.27625,46.650000000000006,0.0,0.0
CUST000354,50.0,Male,New York,Standard,45.74,29.0,12.0,2.0,40.0,59.0,7.0,Credit Card,Quarterly,No,Organic Search,No,Desktop,Fast,1336.76,No,1.5772413793103448,0.41379310344827586,0.06896551724137931,3.811666666666667,40.25,0.0,0.0
CUST000204,48.0,Male,New York,Basic,23.75,3.0,4.0,1.0,63.0,18.0,9.0,Credit Card,Quarterly,No,Organic Search,Yes,Tablet,Medium,211.83,No,7.916666666666667,1.3333333333333333,0.3333333333333333,5.9375,75.35,0.0,0.0
CUST000153,20.0,Female,San Jose,Basic,26.88,7.0,10.0,2.0,78.0,0.0,10.0,Cash,Monthly,No,Advertisement,Yes,iPhone,Slow,386.96,No,3.84,1.4285714285714286,0.2857142857142857,2.6879999999999997,90.1,0.0,0.0
CUST000686,34.0,Male,Houston,Basic,,37.0,27.0,1.0,54.0,39.0,9.0,Cash,Quarterly,Yes,Advertisement,No,Android,Medium,276.67,No,,0.7297297297297297,0.02702702702702703,,66.05,0.0,0.0
CUST001179,44.0,,Indianapolis,Basic,27.11,28.0,17.0,1.0,70.0,29.0,9.0,Bank Transfer,Yearly,No,Advertisement,Yes,Desktop,Medium,786.44,No,0.9682142857142857,0.6071428571428571,0.03571428571428571,1.5947058823529412,75.75,0.0,0.0
CUST000039,30.0,,Phoenix,Basic,14.15,3.0,1.0,2.0,,69.0,8.0,PayPal,Yearly,,Advertisement,Yes,Android,Slow,50.0,No,4.716666666666667,0.3333333333333333,0.6666666666666666,14.15,,1.0,0.0
CUST001448,58.0,Female,Phoenix,Premium,120.06,5.0,5.0,0.0,81.0,13.0,8.0,Debit Card,Yearly,No,Organic Search,Yes,Android,Fast,569.3,No,24.012,1.0,0.0,24.012,81.2,0.0,0.0
CUST001542,50.0,Male,New York,Basic,23.22,8.0,7.0,0.0,80.0,20.0,8.0,PayPal,Quarterly,Yes,Social Media,Yes,iPhone,Medium,53.77,No,2.9025,0.875,0.0,3.317142857142857,79.0,0.0,0.0
CUST001889,21.0,Male,Philadelphia,Standard,48.48,33.0,11.0,6.0,30.0,77.0,4.0,Debit Card,Yearly,No,Friend,No,iPhone,Fast,1144.28,Yes,1.469090909090909,0.3333333333333333,0.18181818181818182,4.407272727272727,3.25,1.0,1.0
CUST000273,39.0,Female,Seattle,Enterprise,300.0,12.0,4.0,3.0,0.0,90.0,6.0,Credit Card,Monthly,Yes,Advertisement,,Android,Medium,3059.7,Yes,25.0,0.3333333333333333,0.25,75.0,6.0,1.0,0.0
CUST001509,64.0,Female,Jacksonville,Basic,14.1,14.0,6.0,2.0,37.0,22.0,7.0,,Monthly,Yes,Advertisement,No,iPhone,Fast,132.22,Yes,1.0071428571428571,0.42857142857142855,0.14285714285714285,2.35,48.150000000000006,0.0,0.0
CUST000061,20.0,Female,Denver,Standard,55.81,53.0,31.0,0.0,33.0,41.0,6.0,Bank Transfer,Yearly,No,Advertisement,No,Android,Medium,2182.87,No,1.0530188679245283,0.5849056603773585,0.0,1.8003225806451613,40.6,0.0,0.0
CUST001601,39.0,Female,New York,Basic,10.0,37.0,16.0,3.0,11.0,52.0,6.0,Credit Card,,No,Advertisement,No,iPhone,Fast,473.63,Yes,0.2702702702702703,0.43243243243243246,0.08108108108108109,0.625,20.450000000000003,0.0,0.0
CUST000978,35.0,Male,Austin,Basic,10.0,15.0,4.0,3.0,2.0,71.0,7.0,Bank Transfer,Quarterly,No,Friend,No,Desktop,Medium,50.0,Yes,0.6666666666666666,0.26666666666666666,0.2,2.5,17.65,1.0,0.0
CUST000708,47.0,Female,Houston,Premium,111.85,16.0,8.0,4.0,44.0,38.0,6.0,Credit Card,Monthly,Yes,Organic Search,No,Desktop,Fast,1609.69,Yes,6.990625,0.5,0.25,13.98125,36.3,0.0,1.0
CUST001381,,Female,San Diego,Basic,10.0,15.0,2.0,6.0,25.0,77.0,4.0,Debit Card,Quarterly,No,Organic Search,No,Desktop,Medium,50.0,Yes,0.6666666666666666,0.13333333333333333,0.4,5.0,1.0,1.0,1.0
CUST001107,24.0,Female,Nashville,Premium,138.42,2.0,2.0,1.0,75.0,60.0,8.0,Cash,Monthly,No,Social Media,Yes,Desktop,Medium,50.0,No,69.21,1.0,0.5,69.21,64.25,0.0,0.0
CUST001893,26.0,Female,San Antonio,Standard,47.76,2.0,1.0,3.0,23.0,76.0,6.0,Bank Transfer,Quarterly,No,Organic Search,No,Android,Medium,282.31,Yes,23.88,0.5,1.5,47.76,19.85,1.0,0.0
CUST000758,50.0,Male,Phoenix,Premium,98.26,3.0,1.0,4.0,21.0,,5.0,Debit Card,Monthly,No,Friend,No,Tablet,Medium,414.41,Yes,32.75333333333334,0.3333333333333333,1.3333333333333333,98.26,,0.0,1.0
CUST000434,18.0,Male,Boston,Standard,60.22,21.0,24.0,2.0,68.0,36.0,10.0,Debit Card,,Yes,Friend,No,Desktop,Medium,812.27,No,2.8676190476190477,1.1428571428571428,0.09523809523809523,2.5091666666666668,76.6,0.0,0.0
CUST000448,36.0,Male,Seattle,Basic,18.78,16.0,8.0,5.0,17.0,57.0,3.0,PayPal,Yearly,Yes,Social Media,No,iPhone,Medium,282.65,Yes,1.17375,0.5,0.3125,2.3475,-1.1000000000000014,0.0,1.0
CUST000845,42.0,Male,San Diego,Basic,10.78,31.0,35.0,2.0,45.0,47.0,7.0,PayPal,Quarterly,Yes,,Yes,Android,Fast,207.56,No,0.34774193548387095,1.1290322580645162,0.06451612903225806,0.308,45.5,0.0,0.0
CUST001472,54.0,Female,San Antonio,Premium,88.7,72.0,64.0,0.0,51.0,21.0,8.0,Credit Card,Yearly,Yes,Organic Search,Yes,Tablet,Slow,19896.04,No,1.2319444444444445,0.8888888888888888,0.0,1.3859375,65.7,0.0,0.0
CUST000643,65.0,Female,San Diego,Basic,,9.0,,0.0,69.0,0.0,10.0,Credit Card,Yearly,No,Friend,Yes,Android,Medium,458.13,No,,,0.0,,91.05,0.0,0.0
CUST001690,50.0,Male,Portland,Basic,27.75,14.0,17.0,0.0,79.0,43.0,10.0,PayPal,Quarterly,No,Social Media,Yes,Android,Medium,94.12,No,1.9821428571428572,1.2142857142857142,0.0,1.6323529411764706,84.80000000000001,0.0,0.0
CUST000473,37.0,Male,Portland,Basic,12.84,7.0,1.0,3.0,5.0,75.0,6.0,Debit Card,Quarterly,No,Advertisement,Yes,Tablet,Fast,290.64,Yes,1.8342857142857143,0.14285714285714285,0.42857142857142855,12.84,12.0,1.0,0.0
CUST001011,25.0,Male,Phoenix,Basic,17.03,8.0,5.0,3.0,48.0,38.0,8.0,Credit Card,Yearly,No,Organic Search,No,iPhone,Medium,50.0,No,2.12875,0.625,0.375,3.406,52.599999999999994,0.0,0.0
CUST001475,38.0,Female,Nashville,Basic,287.5,7.0,4.0,0.0,99.0,50.0,9.0,Bank Transfer,Quarterly,No,Friend,No,Desktop,Slow,50.0,No,41.07142857142857,0.5714285714285714,0.0,71.875,86.05000000000001,0.0,0.0
CUST001224,,Female,Boston,Basic,10.0,54.0,16.0,3.0,9.0,58.0,5.0,PayPal,Quarterly,No,Friend,Yes,Android,Fast,177.91,No,0.18518518518518517,0.2962962962962963,0.05555555555555555,0.625,12.049999999999997,0.0,0.0
CUST001091,33.0,Female,Boston,Basic,10.0,40.0,8.0,3.0,29.0,,5.0,PayPal,Yearly,Yes,Friend,No,Android,Fast,584.19,Yes,0.25,0.2,0.075,1.25,,0.0,0.0
